warning: only one CPU, which may conceal locking bugs
000005 CLNT S0 start
000008 CLNT S1 start
000010 CLNT S2 start
Test (2A): initial election ...
002541 TIMR S1 Follower -> Candidate at time : 1681831813
002542 CLNT S1 election timeouts restart a new election now - lastAct = 253 ms
002542 INFO S1 new timeouts 201 ms
002544 VOTE S1 send request to S0 for vote
002545 VOTE S1 send request to S2 for vote
002547 CLNT S2 Handle RequestVote, CandidatesId1 Term1 CurrentTerm0 LastLogIndex-1 LastLogTerm-1 votedFor-1
002548 CLNT S2 voted to S1
002550 CLNT S0 Handle RequestVote, CandidatesId1 Term1 CurrentTerm0 LastLogIndex-1 LastLogTerm-1 votedFor-1
002551 CLNT S0 voted to S1
002552 VOTE S1 got majority votes and becomes Leader Spend 0 millseconds
002596 TIMR S1 Leader, checking heartbeats
002600 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
002600 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
002602 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
002603 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
002603 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
002604 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
003127 TIMR S1 Leader, checking heartbeats
003130 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
003130 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
003131 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
003132 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
003132 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
003133 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
003634 TIMR S1 Leader, checking heartbeats
003637 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
